date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity
3/25/2021,ME,MEA,Maine,1344212,Report,756610,620556,56287,46165,303792,297397,19316,51,414454,30.8,15.8,414103,37.8,620015,56603,69073,228095,80,352391,123531,265231,211841,211638,19.3,384000,350610,22000,0,105223,106603,19419,15,105202,106421,19415,15,54672,71626,10014,7,231260,17.2,231053,21.1,136319,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,MI,MIA,Michigan,9986857,Report,5114300,3914742,51210,39199,1855922,1992869,65951,0,2561046,25.6,13.9,2558067,32.6,3911018,49867,65209,1214325,68.8,1952439,110595,289696,1392032,1391269,17.7,2463900,2507700,142700,0,617168,774803,66849,61,617099,774109,66820,61,355314,408150,19761,48,1458881,14.6,1458089,18.6,783273,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,MN,MNA,Minnesota,5639632,Report,2850840,2417606,50550,42868,1119690,1243779,53942,195,1582691,28.1,15,1579130,36.4,2413257,55650,65741,736961,80.1,1160273,126064,309745,846572,845739,19.5,1371100,1402440,77300,0,377710,468815,54360,47,377675,468017,54344,47,185335,253696,29163,19,900932,16,900083,20.8,468213,50.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,MO,MOA,Missouri,6137428,Report,3091485,2276318,50371,37089,942316,1295697,38001,304,1452035,23.7,12.2,1449809,30.4,2273408,47692,64854,682049,64.2,1106211,104159,291090,750511,749988,15.7,1438100,1568385,85000,0,293382,457092,39320,37,293344,456608,39305,36,169234,219009,12504,16,789831,12.9,789293,16.6,400763,37.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,MS,MSA,Mississippi,2976149,Report,1557815,1049528,52343,35265,538861,486756,23182,729,679635,22.8,12.4,678717,29.8,1048456,46034,68398,307380,63.2,505947,103956,320082,369947,369809,16.2,782500,732615,42700,0,189941,179994,22569,12,189917,179880,22562,12,109301,94171,6827,4,392516,13.2,392371,17.2,210303,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,MT,MTA,Montana,1068778,Report,603585,463857,56474,43401,243878,212142,7723,114,296319,27.7,15.7,295190,35.1,462367,55031,71839,140146,67.9,230794,111799,292382,168310,167965,20,317600,269685,16300,0,89298,78983,7686,29,89278,78658,7683,29,45718,46604,2403,15,175996,16.5,175648,20.9,94740,45.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,NC,NCA,North Carolina,10488084,Report,5321170,4240056,50735,40427,1811819,2316014,111894,329,2775957,26.5,13.4,2764931,33.8,4227841,51639,64992,1229412,70.2,2185138,124787,303877,1404777,1403645,17.1,2485900,2688270,147000,0,568927,835824,109931,26,568796,834823,109718,26,417425,494263,15902,20,1514708,14.4,1513363,18.5,927610,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,ND,NDA,North Dakota,762062,Report,423440,369029,55565,48425,175254,186176,7599,0,225684,29.6,16.5,224722,38.6,367756,63200,72770,90497,75.5,163766,136648,353323,125761,125520,21.6,207200,205140,11100,0,61068,64693,6880,0,61050,64470,6870,0,32995,33559,1240,0,132641,17.4,132390,22.8,67794,56.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,NE,NEA,Nebraska,1934408,Report,1028490,836012,53168,43218,392867,421326,20127,1692,540911,28,14.9,539553,37,834212,57203,70525,239355,76.6,399251,127777,329161,288002,287556,19.7,477900,519090,31500,0,138552,148983,20674,467,138523,148566,20668,467,70567,84775,1587,367,308676,16,308224,21.1,157296,50.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,NH,NHA,New Hampshire,1359711,Report,710345,566168,52242,41639,303748,248609,13784,27,395378,29.1,14.1,394166,35.7,564577,51118,64316,207212,81.6,293707,115695,279813,192118,191759,17.4,353100,337545,19700,0,115624,76488,14375,6,115546,76207,14361,6,54906,41424,8488,3,206493,15.2,206120,18.7,104821,41.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,NJ,NJA,New Jersey,8882190,Report,4684665,3869393,52742,43564,1892444,1896429,80045,475,2661886,30,14.9,2651195,38.2,3855464,55525,67467,993523,67.3,1515486,102708,317489,1325825,1322572,19,2240600,2321865,122200,0,632523,693295,79899,7,632433,690132,79877,7,259848,300554,23258,5,1405724,15.8,1402449,20.2,583665,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,NM,NMA,New Mexico,2096829,Report,1297585,1135178,61883,54138,518001,598135,17662,1380,722460,34.5,20.2,715714,44.2,1126535,69497,80049,263138,69.7,425865,112780,343635,423087,419779,25.9,604600,659685,33300,0,182252,240483,17156,352,182168,237259,17128,352,78330,89420,6308,214,440243,21,436907,27,174272,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,NV,NVA,Nevada,3080156,Report,1511590,1214518,49075,39430,540008,650576,23934,0,776760,25.2,13.3,775739,32.5,1213194,50814,63312,333437,67.2,561088,113129,304773,410142,409864,17.2,737600,733590,40400,0,184511,225630,23714,1,184491,225372,23712,1,97147,116408,7606,0,433856,14.1,433576,18.2,221161,44.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,NY,NYA,New York State,19453561,Report,10599425,7986362,54486,41053,3734818,4073728,176784,1032,5378106,27.6,12.8,5364422,34.8,7969931,51668,68715,2080445,63.1,3185132,96632,321570,2484540,2481647,16.1,4941700,5384925,272800,0,1190828,1293517,175283,195,1190660,1290792,175246,195,535822,567990,53684,125,2659823,13.7,2656893,17.2,1157621,35.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,OH,OHA,Ohio,11689100,Report,6190705,4679419,52961,40032,2264255,2282150,129099,3915,3031371,25.9,13.6,3027775,33.2,4674364,51304,67947,1433539,70.1,2394243,117002,302529,1595512,1594071,17.5,2955600,3065205,169900,0,799635,794804,127047,1073,799586,793416,127027,1069,425674,509838,37355,730,1722559,14.7,1721098,18.9,973597,47.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,OK,OKA,Oklahoma,3956971,Report,2460515,1753658,62182,44318,809189,919373,25086,10,1130532,28.6,15,1123609,37.4,1745669,58097,81888,455968,71.8,791577,124632,387402,594109,593293,19.7,1204700,1192815,63000,0,266040,328068,24953,1,266018,327274,24944,1,173411,154231,5835,0,619062,15.6,618237,20.6,333477,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
