school,total_student_cases_avg,chng_total_student_cases_avg,total_staff_cases_avg,chng_total_staff_cases_avg
Edward R. Martin Middle School Annex,0,0,0,0
Edward S. Rhodes School,7,0,0,0
Eleanor Briggs School,0,0,0,0
Elizabeth Baldwin School,27,0,0,0
Ella Risk School,7,0,0,0
Emma G. Whiteknact School,7,0,0,0
Esek Hopkins Middle School,22,0,0,0
Exeter-West Greenwich Regional Junior High,7,0,0,0
Exeter-West Greenwich Regional Senior High School,12,0,0,0
Fallon Memorial School,32,0,0,0
Father John V. Doyle School,0,0,0,0
Fishing Cove Elementary School,7,0,0,0
Flora S. Curtis Memorial School,7,0,0,0
Fogarty Memorial School,7,0,0,0
Forest Avenue School,0,0,0,0
Forest Park Elementary School,0,0,0,0
Fort Barton School,7,0,0,0
Founders Academy,7,0,0,0
Francis J. Varieur School,12,0,0,0
Frank D. Spaziano Elementary School,7,0,0,0
Frank D. Spaziano Elementary School Annex,0,0,0,0
Frank E. Thompson Middle School,27,0,0,0
Frenchtown School,0,0,0,0
Garden City School,12,0,0,0
Garvin Memorial School,17,0,0,0
George Hanaford School,0,0,0,0
George J. Peters School,12,0,0,0
George J. West Elementary School,17,0,0,0
Gilbert Stuart Middle School,27,0,0,0
Gladstone Street School,22,0,0,0
Glen Hills Elementary School,7,0,0,0
Globe Park School,17,0,0,0
Good Shepherd Catholic Regional School,0,0,0,0
Governor Christopher DelSesto Middle School,37,0,0,0
Graniteville School,0,0,0,0
Greenbush Elementary School,17,0,0,0
Greenville Nursery School,0,0,0,0
Greenwood School,7,0,0,0
Greystone Elementary School,0,0,0,0
Guiteras School,7,0,0,0
Hamilton Elementary School,0,0,0,0
Hampden Meadows School,0,0,0,0
Harmony Hill School,0,0,0,0
Harold F. Scott School,7,0,0,0
Harris School,12,0,0,0
Harry Kizirian Elementary School,12,0,0,0
Headstart,0,0,0,0
Henry Barnard School,0,0,0,0
Henry J. Winters School,17,0,0,0
High Road School of Providence,0,0,0,0
Highlander Charter School/Mariposa Center@Meeting St.School,0,0,0,0
Highlander Elementary Charter School,22,0,0,0
Highlander Secondary Charter School,27,0,0,0
Holliman School,7,0,0,0
Hope Elementary School,7,0,0,0
Hope High School,47,0,0,0
Hope Highlands Middle School,17,0,0,0
Hope Street School,0,0,0,0
Hope Valley Elementary School,0,0,0,0
Hopkins Hill Elementary School,7,0,0,0
Howard Hathaway School,7,0,0,0
Hugh B. Bain Middle School,32,0,7,0
Hugh Cole School,17,5,0,0
Imagine Preschool,0,0,0,0
Immaculate Conception Catholic Regional,0,0,0,0
International Charter School,17,0,0,0
Islamic School of RI,0,0,0,0
Jacqueline M. Walsh School for the Performing and Visual Arts,17,0,0,0
James L. McGuire School,7,0,0,0
Jamestown School-Lawn,0,0,0,0
Jamestown School-Melrose,0,0,0,0
John F. Deering Middle School,37,0,7,0
John F. Horgan Elementary School,32,0,0,0
John J. McLaughlin Cumberland Hill School,12,0,0,0
Johnston Senior High School,62,0,0,0
Joseph H. Gaudet Learning Academy,0,0,0,0
Joseph H. Gaudet Middle School,12,0,0,0
Joseph Jenks Middle School,47,0,7,0
Joseph L. McCourt Middle School,12,0,0,0
Karen Bouchard Children's Center,0,0,0,0
Kent Heights School,12,0,0,0
Kevin K. Coleman Elementary School,12,0,0,0
