week_ending,shortage_of_nursing_staff,shortage_of_clinical_staff,shortage_of_aides,shortage_of_other_staff,total_providers_reporting,change_nursing_staff,change_clinical_staff,change_aides,change_other_staff,%_short_nursing_staff,%_short_clinical_staff,%_short_aides,%_short_other_staff
2020-11-01,16,4,22,10,75,0.0,2.0,1.0,4.0,0.21333333333333335,0.05333333333333334,0.29333333333333333,0.13333333333333333
2020-11-08,17,2,19,9,76,1.0,-2.0,-3.0,-1.0,0.2236842105263158,0.02631578947368421,0.25,0.11842105263157894
2020-11-15,20,2,24,8,75,3.0,0.0,5.0,-1.0,0.26666666666666666,0.02666666666666667,0.32,0.10666666666666667
2020-11-22,23,2,25,8,76,3.0,0.0,1.0,0.0,0.3026315789473684,0.02631578947368421,0.32894736842105265,0.10526315789473684
2020-11-29,20,2,23,8,75,-3.0,0.0,-2.0,0.0,0.26666666666666666,0.02666666666666667,0.30666666666666664,0.10666666666666667
2020-12-06,20,1,22,9,76,0.0,-1.0,-1.0,1.0,0.2631578947368421,0.013157894736842105,0.2894736842105263,0.11842105263157894
2020-12-13,18,2,21,8,76,-2.0,1.0,-1.0,-1.0,0.23684210526315788,0.02631578947368421,0.27631578947368424,0.10526315789473684
2020-12-20,17,4,24,9,76,-1.0,2.0,3.0,1.0,0.2236842105263158,0.05263157894736842,0.3157894736842105,0.11842105263157894
2020-12-27,21,5,23,12,76,4.0,1.0,-1.0,3.0,0.27631578947368424,0.06578947368421052,0.3026315789473684,0.15789473684210525
2021-01-03,20,3,23,10,74,-1.0,-2.0,0.0,-2.0,0.2702702702702703,0.04054054054054054,0.3108108108108108,0.13513513513513514
2021-01-10,18,3,22,9,76,-2.0,0.0,-1.0,-1.0,0.23684210526315788,0.039473684210526314,0.2894736842105263,0.11842105263157894
2021-01-17,15,2,20,7,75,-3.0,-1.0,-2.0,-2.0,0.2,0.02666666666666667,0.26666666666666666,0.09333333333333334
2021-01-24,17,4,20,11,76,2.0,2.0,0.0,4.0,0.2236842105263158,0.05263157894736842,0.2631578947368421,0.14473684210526316
2021-01-31,16,4,19,11,75,-1.0,0.0,-1.0,0.0,0.21333333333333335,0.05333333333333334,0.25333333333333335,0.14666666666666667
2021-02-07,13,3,17,8,76,-3.0,-1.0,-2.0,-3.0,0.17105263157894737,0.039473684210526314,0.2236842105263158,0.10526315789473684
2021-02-14,13,2,20,6,76,0.0,-1.0,3.0,-2.0,0.17105263157894737,0.02631578947368421,0.2631578947368421,0.07894736842105263
2021-02-21,15,4,18,7,76,2.0,2.0,-2.0,1.0,0.19736842105263158,0.05263157894736842,0.23684210526315788,0.09210526315789473
2021-02-28,13,1,16,5,73,-2.0,-3.0,-2.0,-2.0,0.1780821917808219,0.0136986301369863,0.2191780821917808,0.0684931506849315
2021-03-07,17,6,17,9,76,4.0,5.0,1.0,4.0,0.2236842105263158,0.07894736842105263,0.2236842105263158,0.11842105263157894
2021-03-14,11,2,16,6,76,-6.0,-4.0,-1.0,-3.0,0.14473684210526316,0.02631578947368421,0.21052631578947367,0.07894736842105263
2021-03-21,12,2,17,6,75,1.0,0.0,1.0,0.0,0.16,0.02666666666666667,0.22666666666666666,0.08
2021-03-28,15,5,18,10,75,3.0,3.0,1.0,4.0,0.2,0.06666666666666667,0.24,0.13333333333333333
2021-04-04,13,3,17,8,74,-2.0,-2.0,-1.0,-2.0,0.17567567567567569,0.04054054054054054,0.22972972972972974,0.10810810810810811
2021-04-11,12,2,18,7,74,-1.0,-1.0,1.0,-1.0,0.16216216216216217,0.02702702702702703,0.24324324324324326,0.0945945945945946
2021-04-18,11,2,16,5,74,-1.0,0.0,-2.0,-2.0,0.14864864864864866,0.02702702702702703,0.21621621621621623,0.06756756756756757
2021-04-25,11,3,17,5,75,0.0,1.0,1.0,0.0,0.14666666666666667,0.04,0.22666666666666666,0.06666666666666667
2021-05-02,13,3,15,6,74,2.0,0.0,-2.0,1.0,0.17567567567567569,0.04054054054054054,0.20270270270270271,0.08108108108108109
2021-05-09,12,4,13,6,75,-1.0,1.0,-2.0,0.0,0.16,0.05333333333333334,0.17333333333333334,0.08
2021-05-16,12,2,16,7,75,0.0,-2.0,3.0,1.0,0.16,0.02666666666666667,0.21333333333333335,0.09333333333333334
2021-05-23,14,2,17,9,75,2.0,0.0,1.0,2.0,0.18666666666666668,0.02666666666666667,0.22666666666666666,0.12
2021-05-30,13,3,17,8,75,-1.0,1.0,0.0,-1.0,0.17333333333333334,0.04,0.22666666666666666,0.10666666666666667
2021-06-06,14,3,15,8,75,1.0,0.0,-2.0,0.0,0.18666666666666668,0.04,0.2,0.10666666666666667
2021-06-13,13,3,17,8,75,-1.0,0.0,2.0,0.0,0.17333333333333334,0.04,0.22666666666666666,0.10666666666666667
2021-06-20,12,2,16,7,75,-1.0,-1.0,-1.0,-1.0,0.16,0.02666666666666667,0.21333333333333335,0.09333333333333334
2021-06-27,14,2,19,8,74,2.0,0.0,3.0,1.0,0.1891891891891892,0.02702702702702703,0.25675675675675674,0.10810810810810811
2021-07-04,13,3,17,8,74,-1.0,1.0,-2.0,0.0,0.17567567567567569,0.04054054054054054,0.22972972972972974,0.10810810810810811
2021-07-11,14,2,16,9,73,1.0,-1.0,-1.0,1.0,0.1917808219178082,0.0273972602739726,0.2191780821917808,0.1232876712328767
2021-07-18,16,3,18,10,74,2.0,1.0,2.0,1.0,0.21621621621621623,0.04054054054054054,0.24324324324324326,0.13513513513513514
2021-07-25,15,2,17,10,73,-1.0,-1.0,-1.0,0.0,0.2054794520547945,0.0273972602739726,0.2328767123287671,0.136986301369863
2021-08-01,16,2,18,10,71,1.0,0.0,1.0,0.0,0.22535211267605634,0.028169014084507043,0.2535211267605634,0.14084507042253522
2021-08-08,16,2,18,10,69,0.0,0.0,0.0,0.0,0.2318840579710145,0.028985507246376812,0.2608695652173913,0.14492753623188406
2021-08-15,16,2,16,9,71,0.0,0.0,-2.0,-1.0,0.22535211267605634,0.028169014084507043,0.22535211267605634,0.1267605633802817
2021-08-22,14,2,14,9,71,-2.0,0.0,-2.0,0.0,0.19718309859154928,0.028169014084507043,0.19718309859154928,0.1267605633802817
