date,first_date_scraped,first_reported_deaths,date_scraped,current_deaths,diff
2020-08-20,2020-08-21,2,2021-03-25,3,1
2020-08-21,2020-08-24,2,2021-03-25,2,0
2020-08-22,2020-08-24,0,2021-03-25,1,1
2020-08-23,2020-08-24,0,2021-03-25,1,1
2020-08-24,2020-08-25,1,2021-03-25,1,0
2020-08-25,2020-08-26,1,2021-03-25,1,0
2020-08-26,2020-08-27,1,2021-03-25,1,0
2020-08-27,2020-08-28,1,2021-03-25,2,1
2020-08-28,2020-08-31,1,2021-03-25,2,1
2020-08-29,2020-08-31,0,2021-03-25,2,2
2020-08-30,2020-08-31,1,2021-03-25,2,1
2020-08-31,2020-09-01,0,2021-03-25,1,1
2020-09-01,2020-09-02,0,2021-03-25,2,2
2020-09-02,2020-09-03,2,2021-03-25,2,0
2020-09-03,2020-09-04,0,2021-03-25,3,3
2020-09-04,2020-09-08,0,2021-03-25,1,1
2020-09-05,2020-09-08,0,2021-03-25,1,1
2020-09-06,2020-09-08,1,2021-03-25,1,0
2020-09-07,2020-09-08,0,2021-03-25,1,1
2020-09-08,2020-09-09,0,2021-03-25,2,2
2020-09-09,2020-09-10,0,2021-03-25,1,1
2020-09-10,2020-09-11,0,2021-03-25,1,1
2020-09-11,2020-09-14,0,2021-03-25,0,0
2020-09-12,2020-09-14,3,2021-03-25,3,0
2020-09-13,2020-09-14,0,2021-03-25,0,0
2020-09-14,2020-09-15,0,2021-03-25,2,2
2020-09-15,2020-09-16,2,2021-03-25,2,0
2020-09-16,2020-09-17,4,2021-03-25,5,1
2020-09-17,2020-09-18,0,2021-03-25,0,0
2020-09-18,2020-09-21,1,2021-03-25,2,1
2020-09-19,2020-09-21,3,2021-03-25,4,1
2020-09-20,2020-09-21,3,2021-03-25,4,1
2020-09-21,2020-09-22,1,2021-03-25,2,1
2020-09-22,2020-09-23,1,2021-03-25,1,0
2020-09-23,2020-09-24,0,2021-03-25,0,0
2020-09-24,2020-09-25,1,2021-03-25,1,0
2020-09-25,2020-09-28,1,2021-03-25,1,0
2020-09-26,2020-09-28,0,2021-03-25,1,1
2020-09-27,2020-09-28,0,2021-03-25,0,0
2020-09-28,2020-09-29,1,2021-03-25,2,1
2020-09-29,2020-09-30,0,2021-03-25,1,1
2020-09-30,2020-10-01,1,2021-03-25,1,0
2020-10-01,2020-10-02,1,2021-03-25,2,1
2020-10-02,2020-10-06,1,2021-03-25,2,1
2020-10-03,2020-10-06,2,2021-03-25,2,0
2020-10-04,2020-10-06,2,2021-03-25,2,0
2020-10-05,2020-10-06,2,2021-03-25,4,2
2020-10-06,2020-10-07,0,2021-03-25,0,0
2020-10-07,2020-10-08,1,2021-03-25,2,1
2020-10-08,2020-10-09,3,2021-03-25,4,1
2020-10-09,2020-10-13,2,2021-03-25,3,1
2020-10-10,2020-10-13,2,2021-03-25,2,0
2020-10-11,2020-10-13,3,2021-03-25,6,3
2020-10-12,2020-10-13,2,2021-03-25,5,3
2020-10-13,2020-10-14,4,2021-03-25,7,3
2020-10-14,2020-10-15,2,2021-03-25,2,0
2020-10-15,2020-10-16,0,2021-03-25,2,2
2020-10-16,2020-10-19,1,2021-03-25,2,1
2020-10-17,2020-10-19,0,2021-03-25,2,2
2020-10-18,2020-10-19,1,2021-03-25,2,1
2020-10-19,2020-10-20,0,2021-03-25,1,1
2020-10-20,2020-10-21,1,2021-03-25,4,3
2020-10-21,2020-10-22,2,2021-03-25,3,1
2020-10-22,2020-10-23,0,2021-03-25,3,3
2020-10-23,2020-10-26,3,2021-03-25,3,0
2020-10-24,2020-10-26,0,2021-03-25,1,1
2020-10-25,2020-10-26,1,2021-03-25,2,1
2020-10-26,2020-10-27,1,2021-03-25,3,2
2020-10-27,2020-10-28,3,2021-03-25,5,2
2020-10-28,2020-10-29,1,2021-03-25,3,2
2020-10-29,2020-10-31,4,2021-03-25,4,0
2020-10-30,2020-11-03,4,2021-03-25,5,1
2020-10-31,2020-11-03,3,2021-03-25,3,0
2020-11-01,2020-11-03,3,2021-03-25,4,1
2020-11-02,2020-11-03,1,2021-03-25,6,5
2020-11-03,2020-11-04,0,2021-03-25,1,1
2020-11-04,2020-11-05,2,2021-03-25,4,2
2020-11-05,2020-11-06,1,2021-03-25,4,3
2020-11-06,2020-11-09,5,2021-03-25,5,0
2020-11-07,2020-11-09,1,2021-03-25,1,0
2020-11-08,2020-11-09,1,2021-03-25,6,5
2020-11-09,2020-11-10,2,2021-03-25,4,2
2020-11-10,2020-11-11,4,2021-03-25,6,2
2020-11-11,2020-11-12,6,2021-03-25,9,3
2020-11-12,2020-11-13,3,2021-03-25,5,2
2020-11-13,2020-11-16,1,2021-03-25,2,1
2020-11-14,2020-11-16,8,2021-03-25,10,2
2020-11-15,2020-11-16,5,2021-03-25,8,3
2020-11-16,2020-11-17,4,2021-03-25,6,2
2020-11-17,2020-11-18,3,2021-03-25,5,2
2020-11-18,2020-11-19,3,2021-03-25,7,4
2020-11-19,2020-11-20,2,2021-03-25,6,4
2020-11-20,2020-11-23,6,2021-03-25,7,1
2020-11-21,2020-11-23,3,2021-03-25,10,7
2020-11-22,2020-11-23,6,2021-03-25,12,6
2020-11-23,2020-11-24,8,2021-03-25,12,4
2020-11-24,2020-11-25,7,2021-03-25,12,5
2020-11-25,2020-11-27,4,2021-03-25,7,3
2020-11-26,2020-11-27,4,2021-03-25,12,8
2020-11-27,2020-11-30,4,2021-03-25,9,5
2020-11-28,2020-11-30,2,2021-03-25,4,2
2020-11-29,2020-11-30,8,2021-03-25,9,1
2020-11-30,2020-12-02,5,2021-03-25,7,2
2020-12-01,2020-12-02,10,2021-03-25,13,3
2020-12-02,2020-12-03,6,2021-03-25,14,8
2020-12-03,2020-12-04,8,2021-03-25,12,4
2020-12-04,2020-12-07,10,2021-03-25,12,2
2020-12-05,2020-12-07,8,2021-03-25,16,8
2020-12-06,2020-12-07,11,2021-03-25,15,4
2020-12-07,2020-12-08,17,2021-03-25,24,7
2020-12-08,2020-12-09,13,2021-03-25,21,8
2020-12-09,2020-12-10,9,2021-03-25,15,6
2020-12-10,2020-12-11,11,2021-03-25,26,15
2020-12-11,2020-12-14,11,2021-03-25,20,9
2020-12-12,2020-12-14,12,2021-03-25,19,7
2020-12-13,2020-12-14,17,2021-03-25,30,13
2020-12-14,2020-12-15,11,2021-03-25,15,4
2020-12-15,2020-12-16,10,2021-03-25,16,6
2020-12-16,2020-12-17,9,2021-03-25,19,10
2020-12-17,2020-12-19,11,2021-03-25,17,6
2020-12-18,2020-12-21,9,2021-03-25,15,6
2020-12-19,2020-12-21,15,2021-03-25,20,5
2020-12-20,2020-12-21,11,2021-03-25,14,3
2020-12-21,2020-12-22,7,2021-03-25,11,4
2020-12-22,2020-12-23,14,2021-03-25,18,4
2020-12-23,2020-12-28,8,2021-03-25,10,2
2020-12-24,2020-12-28,7,2021-03-25,17,10
2020-12-25,2020-12-28,10,2021-03-25,21,11
2020-12-26,2020-12-28,7,2021-03-25,11,4
2020-12-27,2020-12-28,3,2021-03-25,13,10
2020-12-28,2020-12-29,10,2021-03-25,14,4
2020-12-29,2020-12-30,11,2021-03-25,17,6
2020-12-30,2021-01-04,9,2021-03-25,11,2
2020-12-31,2021-01-04,14,2021-03-25,19,5
2021-01-01,2021-01-04,10,2021-03-25,14,4
2021-01-02,2021-01-04,10,2021-03-25,14,4
2021-01-03,2021-01-04,12,2021-03-25,17,5
2021-01-04,2021-01-05,13,2021-03-25,19,6
2021-01-05,2021-01-06,8,2021-03-25,13,5
2021-01-06,2021-01-07,13,2021-03-25,19,6
2021-01-07,2021-01-08,5,2021-03-25,11,6
2021-01-08,2021-01-11,9,2021-03-25,13,4
2021-01-09,2021-01-11,10,2021-03-25,15,5
2021-01-10,2021-01-11,7,2021-03-25,15,8
2021-01-11,2021-01-12,14,2021-03-25,22,8
2021-01-12,2021-01-13,11,2021-03-25,15,4
2021-01-13,2021-01-14,9,2021-03-25,11,2
2021-01-14,2021-01-15,8,2021-03-25,10,2
2021-01-15,2021-01-19,12,2021-03-25,16,4
2021-01-16,2021-01-19,9,2021-03-25,15,6
2021-01-17,2021-01-19,5,2021-03-25,8,3
2021-01-18,2021-01-19,12,2021-03-25,19,7
2021-01-19,2021-01-20,8,2021-03-25,13,5
2021-01-20,2021-01-21,16,2021-03-25,25,9
