zip_code,count,date,change,change_%,population,rate_per_10k
2878,814,01/13/2021,87,0.11966987620357639,15780,515.8428390367554
2889,2094,01/13/2021,162,0.08385093167701863,28217,742.1058227309778
2894,34,01/13/2021,7,0.2592592592592593,722,470.9141274238227
2920,4765,01/13/2021,328,0.07392382240252426,37547,1269.0760912989056
2905,2776,01/13/2021,179,0.06892568348093953,25223,1100.5828014114102
2822,318,01/13/2021,25,0.0853242320819112,6111,520.3730976926853
2876,46,01/13/2021,8,0.21052631578947367,430,1069.7674418604652
2806,822,01/13/2021,100,0.13850415512465375,16310,503.98528510116495
2912,25,01/13/2021,2,0.08695652173913038,1370,182.4817518248175
2835,229,01/13/2021,37,0.19270833333333326,5405,423.68177613321
2882,893,01/13/2021,88,0.10931677018633534,14184,629.5826283135927
2903,794,01/13/2021,59,0.08027210884353742,10780,736.5491651205937
2852,1453,01/13/2021,121,0.09084084084084076,22551,644.31732517405
2808,88,01/13/2021,7,0.08641975308641969,2401,366.51395251978346
2825,291,01/13/2021,39,0.15476190476190466,5377,541.1939743351311
2909,6458,01/13/2021,364,0.05973088283557604,43540,1483.2338079926506
2830,394,01/13/2021,38,0.10674157303370779,5976,659.3038821954485
2826,60,01/13/2021,5,0.09090909090909083,791,758.5335018963337
2857,517,01/13/2021,52,0.1118279569892473,8412,614.5981930575368
2885,851,01/13/2021,123,0.16895604395604402,10627,800.7904394466923
2910,2050,01/13/2021,160,0.08465608465608465,21000,976.1904761904761
2872,5,01/13/2021,0,0.0,218,229.35779816513764
2859,598,01/13/2021,38,0.06785714285714284,6738,887.5037102997923
2807,37,01/13/2021,1,0.02777777777777768,1051,352.04567078972406
2804,117,01/13/2021,8,0.07339449541284404,2607,448.7917146144994
2836,5,01/13/2021,0,0.0,136,367.64705882352945
2921,1183,01/13/2021,98,0.0903225806451613,12361,957.0423104926786
2871,746,01/13/2021,144,0.23920265780730898,17171,434.45343893774384
2825,324,01/20/2021,33,0.11340206185567014,5377,602.5664868885996
2910,2170,01/20/2021,120,0.05853658536585371,21000,1033.3333333333333
2831,348,01/20/2021,16,0.04819277108433728,3515,990.0426742532005
2815,16,01/20/2021,2,0.1428571428571428,278,575.5395683453238
2915,1217,01/20/2021,75,0.06567425569176888,16897,720.2461975498609
2833,21,01/20/2021,2,0.10526315789473695,784,267.85714285714283
2889,2220,01/20/2021,126,0.06017191977077374,28217,786.7597547577701
2896,895,01/20/2021,69,0.08353510895883787,11537,775.7649302244951
2816,2503,01/20/2021,169,0.072407883461868,32611,767.5324277084419
2857,572,01/20/2021,55,0.1063829787234043,8412,679.9809795530196
2909,6739,01/20/2021,281,0.04351192319603592,43540,1547.7721635277906
2872,5,01/20/2021,0,0.0,218,229.35779816513764
2895,3703,01/20/2021,319,0.0942671394799055,41186,899.0919244403437
2864,2827,01/20/2021,193,0.07327258921791957,33396,846.5085638998684
2826,63,01/20/2021,3,0.050000000000000044,791,796.4601769911504
2881,222,01/20/2021,4,0.0183486238532109,7841,283.1271521489606
2873,8,01/20/2021,1,0.1428571428571428,235,340.4255319148936
2830,435,01/20/2021,41,0.10406091370558368,5976,727.9116465863455
2871,857,01/20/2021,111,0.1487935656836461,17171,499.097315240813
2861,2559,01/20/2021,163,0.06803005008347252,26164,978.0614584925852
2837,128,01/20/2021,22,0.2075471698113207,3492,366.5521191294387
2836,5,01/20/2021,0,0.0,136,367.64705882352945
2818,1196,01/20/2021,126,0.11775700934579447,18082,661.4312576042473
2888,1498,01/20/2021,101,0.07229778095919825,19912,752.310164724789
2878,895,01/20/2021,81,0.09950859950859958,15780,567.1736375158428
2891,1060,01/20/2021,96,0.09958506224066399,21198,500.04717426172283
2828,815,01/20/2021,48,0.0625814863102998,7704,1057.8920041536865
2822,342,01/20/2021,24,0.07547169811320753,6111,559.6465390279824
