city_town,county,count,change,change_%,rate_per_10k,date
Pawtucket,Providence,14,3,0.2727272727272727,1.9506757698202593,3/29/2020
Exeter,Washington,0,0,0.0,0.0,3/29/2020
Scituate,Providence,0,0,0.0,0.0,3/29/2020
Woonsocket,Providence,0,0,0.0,0.0,3/29/2020
West Greenwich,Kent,0,0,0.0,0.0,3/29/2020
North Smithfield,Providence,0,0,0.0,0.0,3/29/2020
Charlestown,Washington,0,0,0.0,0.0,3/29/2020
Cranston,Providence,31,4,0.14814814814814814,3.8281529779325507,3/29/2020
North Kingstown,Washington,8,0,0.0,3.0560012224004893,3/29/2020
Foster,Providence,0,0,0.0,0.0,3/29/2020
North Providence,Providence,0,0,0.0,0.0,3/29/2020
Glocester,Providence,0,0,0.0,0.0,3/29/2020
Smithfield,Providence,5,0,0.0,2.3136365739669613,3/29/2020
Portsmouth,Newport,0,0,0.0,0.0,3/30/2020
Lincoln,Providence,0,0,0.0,0.0,3/30/2020
West Greenwich,Kent,0,0,0.0,0.0,3/30/2020
North Providence,Providence,16,16,0.0,4.946668727778637,3/30/2020
Richmond,Washington,0,0,0.0,0.0,3/30/2020
Tiverton,Newport,5,0,0.0,3.15059861373661,3/30/2020
Providence,Providence,71,8,0.12698412698412698,3.955233442334368,3/30/2020
Warren,Bristol,0,0,0.0,0.0,3/30/2020
New Shoreham,Washington,0,0,0.0,0.0,3/30/2020
Westerly,Washington,8,3,0.6000000000000001,3.535755325731459,3/30/2020
Charlestown,Washington,0,0,0.0,0.0,3/30/2020
Pawtucket,Providence,32,18,1.2857142857142856,4.458687473874878,3/30/2020
West Warwick,Kent,8,2,0.33333333333333326,2.78658260475809,3/30/2020
Little Compton,Newport,0,0,0.0,0.0,3/30/2020
North Kingstown,Washington,8,0,0.0,3.0560012224004893,3/30/2020
Scituate,Providence,0,0,0.0,0.0,3/30/2020
Narragansett,Washington,0,0,0.0,0.0,3/30/2020
North Smithfield,Providence,0,0,0.0,0.0,3/30/2020
