school,lea,type,new_student_cases_low,new_student_cases_high,new_student_cases_avg,total_student_cases_low,total_student_cases_high,total_student_cases_avg,new_staff_cases_low,new_staff_cases_high,new_staff_cases_avg,total_staff_cases_low,total_staff_cases_high,total_staff_cases_avg,date
Bradley School North,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
"CHILD, Inc., Centerville Road",Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Community Preparatory School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Cornerstone School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Day Spring Christian Academy,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
East Side Nursery School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Greenville Nursery School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Harmony Hill School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Henry Barnard School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Kid's Kingdom,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Lincoln School,Private Schools,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Middlebridge School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Montessori Centre of Barrington,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Moses Brown School,Private Schools,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Mount Pleasant Academy,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Ocean State Academy,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Ocean State Montessori School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Pathways Strategic Teaching Center(Coventry),Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Pathways Strategic Teaching Center(Warwick),Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Portsmouth Abbey School,Private Schools,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Providence Country Day School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Rocky Hill School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
San Miguel School,Private Schools,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Sargent Rehabilitation Center,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
School One,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Sophia Academy,Private Schools,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
St. Andrew's School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
St. George's School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
St. Mary's Home for Children/George N. Hunt Campus School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
St. Michael's Country Day School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
St. Patrick's School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
The Bradley School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
The Croft School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
The French-American School of RI,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
The Genesis Daycare Center,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
The Gordon School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
"The Groden Center, Inc.",Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
The Pennfield School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
The Providence Center School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
The Tides School - West Warwick,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
The Wheeler School,Private Schools,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
The Wolf School,Private Schools,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Trinity Christian Academy,Private Schools,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
360 High School,Providence,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Alan Shawn Feinstein Elementary at Broad Street,Providence,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
Alfred Lima Sr. Elementary School,Providence,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Anthony Carnevale Elementary School,Providence,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
Asa Messer Elementary School,Providence,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Carl G. Lauro Elementary School,Providence,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Central High School,Providence,virtual,0,0,0.0,45,49,47.0,0,0,0.0,0,0,0.0,2021-01-20
Charles N. Fortes Elementary School,Providence,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Classical High School,Providence,virtual,0,0,0.0,30,34,32.0,0,0,0.0,0,0,0.0,2021-01-20
Dr. Jorge Alvarez High School,Providence,virtual,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-20
"Dr. Martin Luther King, Jr. Elementary School",Providence,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
E-Cubed Academy,Providence,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
Esek Hopkins Middle School,Providence,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
Frank D. Spaziano Elementary School,Providence,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Frank D. Spaziano Elementary School Annex,Providence,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
George J. West Elementary School,Providence,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
Gilbert Stuart Middle School,Providence,virtual,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-20
Governor Christopher DelSesto Middle School,Providence,virtual,0,0,0.0,25,29,27.0,0,0,0.0,0,0,0.0,2021-01-20
Harry Kizirian Elementary School,Providence,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Highlander Charter School/Mariposa Center@Meeting St.School,Providence,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Hope High School,Providence,virtual,5,9,7.0,35,39,37.0,0,0,0.0,0,0,0.0,2021-01-20
Leviton Dual Language School,Providence,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Lillian Feinstein Elementary Sackett Street,Providence,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
Love 4 All Childcare Center,Providence,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Mary E. Fogarty Elementary School,Providence,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Mount Pleasant High School,Providence,virtual,5,9,7.0,30,34,32.0,0,0,0.0,0,0,0.0,2021-01-20
Nathan Bishop Middle School,Providence,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
Nathanael Greene Middle School (Providence),Providence,virtual,0,0,0.0,25,29,27.0,0,0,0.0,0,0,0.0,2021-01-20
Pleasant View School,Providence,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Providence Career and Technical Academy,Providence,virtual,0,0,0.0,25,29,27.0,0,0,0.0,0,0,0.0,2021-01-20
Providence Virtual Learning Academy,Providence,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Reservoir Avenue School,Providence,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Robert F. Kennedy Elementary School,Providence,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Robert L Bailey IV Elementary School,Providence,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Roger Williams Middle School,Providence,virtual,0,0,0.0,20,24,22.0,0,0,0.0,0,0,0.0,2021-01-20
The Sgt. Cornel Young Jr & Charlotte Woods Elementary School @ The B. Jae Clanton Complex,Providence,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Times2 Elementary School,Providence,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
Times2 Middle/High School,Providence,virtual,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-20
Vartan Gregorian Elementary School,Providence,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Veazie Street School,Providence,virtual,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-20
Webster Avenue School,Providence,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
West Broadway Middle School,Providence,virtual,0,0,0.0,20,24,22.0,0,0,0.0,0,0,0.0,2021-01-20
"William B. Cooley, Sr. High School and the Providence Academy of International Studies High School",Providence,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
William D'Abate Elementary School,Providence,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Rhode Island School for the Deaf,R.I. Sch for the Deaf,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
RISE Prep Mayoral Academy Elementary School,RISE Prep Mayoral Academy,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
RI Nurses Institute Middle College Charter High School,Rhode Island Nurses Institute Middle College,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
Clayville Elementary School,Scituate,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Hope Elementary School,Scituate,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
North Scituate Elementary School,Scituate,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Scituate High School,Scituate,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
Scituate Middle School,Scituate,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Segue Institute for Learning,Segue Institute for Learning,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Sheila Skip Nowell Leadership Academy (Capital Campus),Sheila Skip Nowell Leadership Academy,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Sheila Skip Nowell Leadership Academy (Central Campus),Sheila Skip Nowell Leadership Academy,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Anna M. McCabe School,Smithfield,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Old County Road School,Smithfield,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Raymond C. LaPerche School,Smithfield,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Smithfield Senior High School,Smithfield,virtual,0,0,0.0,20,24,22.0,0,0,0.0,0,0,0.0,2021-01-20
Vincent J. Gallagher Middle School,Smithfield,virtual,0,0,0.0,20,24,22.0,0,0,0.0,0,0,0.0,2021-01-20
William Winsor School,Smithfield,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Broad Rock Middle School,South Kingstown,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Curtis Corner Middle School,South Kingstown,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
Matunuck School,South Kingstown,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Peace Dale Elementary School,South Kingstown,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
South Kingstown High School,South Kingstown,virtual,0,0,0.0,20,24,22.0,0,0,0.0,0,0,0.0,2021-01-20
Wakefield Elementary School,South Kingstown,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
West Kingston Elementary School,South Kingstown,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
SouthSide Elementary Charter School,SouthSide Charter School,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
The Greene School,The Greene School,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
The Hope Academy,The Hope Academy,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Fort Barton School,Tiverton,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Pocasset School,Tiverton,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Tiverton High School,Tiverton,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Tiverton Middle School,Tiverton,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Walter E. Ranger School,Tiverton,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Trinity Academy for the Performing Arts,Trinity Academy for the Performing Arts,virtual,0,0,0.0,20,24,22.0,0,0,0.0,0,0,0.0,2021-01-20
Urban Collaborative Accelerated Program,Urban Collaborative,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Village Green Virtual Charter School,Village Green Virtual,virtual,0,0,0.0,20,24,22.0,0,0,0.0,0,0,0.0,2021-01-20
Cedar Hill School,Warwick,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Cottrell F. Hoxsie School,Warwick,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
E. G. Robertson School,Warwick,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Greenwood School,Warwick,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Harold F. Scott School,Warwick,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Holliman School,Warwick,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Lippitt School,Warwick,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Norwood School,Warwick,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Oakland Beach Elementary School,Warwick,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Park School,Warwick,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Pilgrim High School,Warwick,virtual,0,0,0.0,55,59,57.0,0,0,0.0,0,0,0.0,2021-01-20
Sherman School,Warwick,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Toll Gate High School,Warwick,virtual,0,0,0.0,50,54,52.0,0,0,0.0,0,0,0.0,2021-01-20
Warwick Area Career and Technical Center,Warwick,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Warwick Early Learning Center at John Brown Francis,Warwick,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Warwick Neck School,Warwick,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Warwick Veterans Middle School,Warwick,virtual,0,0,0.0,30,34,32.0,0,0,0.0,0,0,0.0,2021-01-20
Winman Middle School,Warwick,virtual,0,0,0.0,25,29,27.0,0,0,0.0,0,0,0.0,2021-01-20
Wyman School,Warwick,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
West Bay Collaborative,West Bay Collaborative,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Greenbush Elementary School,West Warwick,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
John F. Deering Middle School,West Warwick,virtual,0,0,0.0,20,24,22.0,0,0,0.0,5,9,7.0,2021-01-20
John F. Horgan Elementary School,West Warwick,virtual,0,0,0.0,20,24,22.0,0,0,0.0,0,0,0.0,2021-01-20
Maisie E. Quinn Elementary School,West Warwick,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Wakefield Hills Elementary School,West Warwick,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
West Warwick Senior High School,West Warwick,virtual,5,9,7.0,30,34,32.0,0,0,0.0,5,9,7.0,2021-01-20
Dunn's Corners School,Westerly,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Springbrook Elementary School,Westerly,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
State Street School,Westerly,virtual,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-20
Westerly High School,Westerly,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
Westerly Middle School,Westerly,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
Bernon Heights School,Woonsocket,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Globe Park School,Woonsocket,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Harris School,Woonsocket,virtual,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-20
Kevin K. Coleman Elementary School,Woonsocket,virtual,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
Leo A. Savoie School,Woonsocket,virtual,5,9,7.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-20
Pothier-Citizens Elementary Campus,Woonsocket,virtual,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-20
Woonsocket High School,Woonsocket,virtual,10,14,12.0,65,69,67.0,0,0,0.0,5,9,7.0,2021-01-20
Woonsocket Middle School at Hamlet,Woonsocket,virtual,0,0,0.0,20,24,22.0,0,0,0.0,0,0,0.0,2021-01-20
Woonsocket Middle School at Villa Nova,Woonsocket,virtual,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-20
Other,Other,virtual,15,19,17.0,110,114,112.0,5,9,7.0,40,44,42.0,2021-01-20
Total,Total,virtual,515,519,517.0,3920,3924,3922.0,35,39,37.0,355,359,357.0,2021-01-20
AF Providence Mayoral Academy Middle,Achievement First Rhode Island,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
Achievement First Iluminar Mayoral Academy,Achievement First Rhode Island,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
Achievement First Promesa Elementary,Achievement First Rhode Island,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
Achievement First Providence Mayoral Academy,Achievement First Rhode Island,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-27
Barrington High School,Barrington,in person,0,0,0.0,15,19,17.0,0,0,0.0,10,14,12.0,2021-01-27
Barrington Middle School,Barrington,in person,0,0,0.0,30,34,32.0,0,0,0.0,5,9,7.0,2021-01-27
Hampden Meadows School,Barrington,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-27
Nayatt School,Barrington,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-27
Primrose Hill School,Barrington,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-27
Sowams Elementary School,Barrington,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
BEACON Charter School,Beacon Charter School,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
Founders Academy,Beacon Charter School,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
Blackstone Academy Charter School,Blackstone Academy,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
Blackstone Valley Prep Elementary 2 School (ES2),"Blackstone Valley Prep, A RI Mayoral Academy",in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
Blackstone Valley Prep Elementary 3 School (ES3),"Blackstone Valley Prep, A RI Mayoral Academy",in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
Blackstone Valley Prep Elementary School (ES1),"Blackstone Valley Prep, A RI Mayoral Academy",in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-27
Blackstone Valley Prep High School (HS),"Blackstone Valley Prep, A RI Mayoral Academy",in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
Blackstone Valley Prep Upper Elementary School (UES),"Blackstone Valley Prep, A RI Mayoral Academy",in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
Colt Andrews School,Bristol Warren,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-27
Guiteras School,Bristol Warren,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-27
Hugh Cole School,Bristol Warren,in person,0,0,0.0,10,14,12.0,0,0,0.0,10,14,12.0,2021-01-27
Kickemuit Middle School,Bristol Warren,in person,0,0,0.0,25,29,27.0,0,0,0.0,0,0,0.0,2021-01-27
Mt. Hope High School,Bristol Warren,in person,0,0,0.0,30,34,32.0,0,0,0.0,10,14,12.0,2021-01-27
Rockwell School,Bristol Warren,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-27
Austin T. Levy School,Burrillville,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-27
Burrillville High School,Burrillville,in person,0,0,0.0,20,24,22.0,0,0,0.0,5,9,7.0,2021-01-27
Burrillville Middle School,Burrillville,in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-27
Steere Farm Elementary School,Burrillville,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-27
William L. Callahan School,Burrillville,in person,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-27
All Saints Academy,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-27
Bishop Connolly High School,Catholic Schools,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
Bishop Hendricken High School,Catholic Schools,in person,0,0,0.0,35,39,37.0,0,0,0.0,5,9,7.0,2021-01-27
Bishop McVinney Regional School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-27
Blessed Sacrament School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-27
Father John V. Doyle School,Catholic Schools,in person,5,9,7.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-27
Good Shepherd Catholic Regional School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-27
Holy Trinity School,Catholic Schools,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
Immaculate Conception Catholic Regional,Catholic Schools,in person,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-27
La Salle Academy,Catholic Schools,in person,0,0,0.0,55,59,57.0,0,0,0.0,5,9,7.0,2021-01-27
Mercymount Country Day School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-27
Mount St. Charles Academy,Catholic Schools,in person,0,0,0.0,25,29,27.0,0,0,0.0,5,9,7.0,2021-01-27
Msgr. Matthew F. Clarke Catholic Regional School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-27
Our Lady of Mercy Regional School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-27
Our Lady of Mt. Carmel,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-27
Sacred Heart School,Catholic Schools,in person,0,0,0.0,0,0,0.0,0,0,0.0,5,9,7.0,2021-01-27
St. Augustine School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-27
St. Cecilia School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-27
St. Joseph School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-27
St. Kevin School,Catholic Schools,in person,0,0,0.0,15,19,17.0,0,0,0.0,5,9,7.0,2021-01-27
St. Luke School,Catholic Schools,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
St. Margaret School,Catholic Schools,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
St. Mary Academy-Bay View,Catholic Schools,in person,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-27
St. Mary School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-27
St. Patrick School,Catholic Schools,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
St. Paul School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-27
St. Peter School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-27
St. Philip School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-27
St. Philomena School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-27
St. Pius V School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-27
St. Raphael Academy,Catholic Schools,in person,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-27
St. Rocco School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-27
St. Rose of Lima School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-27
St. Stanislaus,Catholic Schools,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-27
