"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"2008"	"2008"	"Apr., 2008"	"2008/04"	247	Not Applicable	Not Applicable
	"2008"	"2008"	"May, 2008"	"2008/05"	242	Not Applicable	Not Applicable
	"2008"	"2008"	"Jun., 2008"	"2008/06"	201	Not Applicable	Not Applicable
	"2008"	"2008"	"Jul., 2008"	"2008/07"	183	Not Applicable	Not Applicable
	"2008"	"2008"	"Aug., 2008"	"2008/08"	217	Not Applicable	Not Applicable
	"2008"	"2008"	"Sep., 2008"	"2008/09"	204	Not Applicable	Not Applicable
	"2008"	"2008"	"Oct., 2008"	"2008/10"	228	Not Applicable	Not Applicable
	"2008"	"2008"	"Nov., 2008"	"2008/11"	211	Not Applicable	Not Applicable
	"2008"	"2008"	"Dec., 2008"	"2008/12"	244	Not Applicable	Not Applicable
"Total"	"2008"	"2008"			2847	Not Applicable	Not Applicable
	"2009"	"2009"	"Jan., 2009"	"2009/01"	235	Not Applicable	Not Applicable
	"2009"	"2009"	"Feb., 2009"	"2009/02"	229	Not Applicable	Not Applicable
	"2009"	"2009"	"Mar., 2009"	"2009/03"	249	Not Applicable	Not Applicable
	"2009"	"2009"	"Apr., 2009"	"2009/04"	245	Not Applicable	Not Applicable
	"2009"	"2009"	"May, 2009"	"2009/05"	225	Not Applicable	Not Applicable
	"2009"	"2009"	"Jun., 2009"	"2009/06"	212	Not Applicable	Not Applicable
	"2009"	"2009"	"Jul., 2009"	"2009/07"	216	Not Applicable	Not Applicable
	"2009"	"2009"	"Aug., 2009"	"2009/08"	204	Not Applicable	Not Applicable
	"2009"	"2009"	"Sep., 2009"	"2009/09"	203	Not Applicable	Not Applicable
	"2009"	"2009"	"Oct., 2009"	"2009/10"	262	Not Applicable	Not Applicable
	"2009"	"2009"	"Nov., 2009"	"2009/11"	242	Not Applicable	Not Applicable
	"2009"	"2009"	"Dec., 2009"	"2009/12"	235	Not Applicable	Not Applicable
"Total"	"2009"	"2009"			2757	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	242	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	199	Not Applicable	Not Applicable
	"2010"	"2010"	"Mar., 2010"	"2010/03"	247	Not Applicable	Not Applicable
	"2010"	"2010"	"Apr., 2010"	"2010/04"	253	Not Applicable	Not Applicable
	"2010"	"2010"	"May, 2010"	"2010/05"	224	Not Applicable	Not Applicable
	"2010"	"2010"	"Jun., 2010"	"2010/06"	222	Not Applicable	Not Applicable
	"2010"	"2010"	"Jul., 2010"	"2010/07"	221	Not Applicable	Not Applicable
	"2010"	"2010"	"Aug., 2010"	"2010/08"	215	Not Applicable	Not Applicable
	"2010"	"2010"	"Sep., 2010"	"2010/09"	231	Not Applicable	Not Applicable
	"2010"	"2010"	"Oct., 2010"	"2010/10"	233	Not Applicable	Not Applicable
	"2010"	"2010"	"Nov., 2010"	"2010/11"	251	Not Applicable	Not Applicable
	"2010"	"2010"	"Dec., 2010"	"2010/12"	256	Not Applicable	Not Applicable
"Total"	"2010"	"2010"			2794	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	270	Not Applicable	Not Applicable
	"2011"	"2011"	"Feb., 2011"	"2011/02"	226	Not Applicable	Not Applicable
	"2011"	"2011"	"Mar., 2011"	"2011/03"	268	Not Applicable	Not Applicable
	"2011"	"2011"	"Apr., 2011"	"2011/04"	243	Not Applicable	Not Applicable
	"2011"	"2011"	"May, 2011"	"2011/05"	229	Not Applicable	Not Applicable
	"2011"	"2011"	"Jun., 2011"	"2011/06"	225	Not Applicable	Not Applicable
	"2011"	"2011"	"Jul., 2011"	"2011/07"	229	Not Applicable	Not Applicable
	"2011"	"2011"	"Aug., 2011"	"2011/08"	211	Not Applicable	Not Applicable
	"2011"	"2011"	"Sep., 2011"	"2011/09"	216	Not Applicable	Not Applicable
	"2011"	"2011"	"Oct., 2011"	"2011/10"	228	Not Applicable	Not Applicable
	"2011"	"2011"	"Nov., 2011"	"2011/11"	229	Not Applicable	Not Applicable
	"2011"	"2011"	"Dec., 2011"	"2011/12"	233	Not Applicable	Not Applicable
"Total"	"2011"	"2011"			2807	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	259	Not Applicable	Not Applicable
	"2012"	"2012"	"Feb., 2012"	"2012/02"	251	Not Applicable	Not Applicable
	"2012"	"2012"	"Mar., 2012"	"2012/03"	223	Not Applicable	Not Applicable
	"2012"	"2012"	"Apr., 2012"	"2012/04"	274	Not Applicable	Not Applicable
	"2012"	"2012"	"May, 2012"	"2012/05"	246	Not Applicable	Not Applicable
	"2012"	"2012"	"Jun., 2012"	"2012/06"	217	Not Applicable	Not Applicable
	"2012"	"2012"	"Jul., 2012"	"2012/07"	233	Not Applicable	Not Applicable
	"2012"	"2012"	"Aug., 2012"	"2012/08"	214	Not Applicable	Not Applicable
	"2012"	"2012"	"Sep., 2012"	"2012/09"	227	Not Applicable	Not Applicable
	"2012"	"2012"	"Oct., 2012"	"2012/10"	228	Not Applicable	Not Applicable
	"2012"	"2012"	"Nov., 2012"	"2012/11"	225	Not Applicable	Not Applicable
	"2012"	"2012"	"Dec., 2012"	"2012/12"	261	Not Applicable	Not Applicable
"Total"	"2012"	"2012"			2858	Not Applicable	Not Applicable
	"2013"	"2013"	"Jan., 2013"	"2013/01"	325	Not Applicable	Not Applicable
	"2013"	"2013"	"Feb., 2013"	"2013/02"	267	Not Applicable	Not Applicable
	"2013"	"2013"	"Mar., 2013"	"2013/03"	250	Not Applicable	Not Applicable
	"2013"	"2013"	"Apr., 2013"	"2013/04"	246	Not Applicable	Not Applicable
	"2013"	"2013"	"May, 2013"	"2013/05"	204	Not Applicable	Not Applicable
	"2013"	"2013"	"Jun., 2013"	"2013/06"	205	Not Applicable	Not Applicable
	"2013"	"2013"	"Jul., 2013"	"2013/07"	208	Not Applicable	Not Applicable
	"2013"	"2013"	"Aug., 2013"	"2013/08"	203	Not Applicable	Not Applicable
	"2013"	"2013"	"Sep., 2013"	"2013/09"	213	Not Applicable	Not Applicable
	"2013"	"2013"	"Oct., 2013"	"2013/10"	220	Not Applicable	Not Applicable
	"2013"	"2013"	"Nov., 2013"	"2013/11"	232	Not Applicable	Not Applicable
	"2013"	"2013"	"Dec., 2013"	"2013/12"	222	Not Applicable	Not Applicable
"Total"	"2013"	"2013"			2795	Not Applicable	Not Applicable
	"2014"	"2014"	"Jan., 2014"	"2014/01"	248	Not Applicable	Not Applicable
	"2014"	"2014"	"Feb., 2014"	"2014/02"	238	Not Applicable	Not Applicable
	"2014"	"2014"	"Mar., 2014"	"2014/03"	279	Not Applicable	Not Applicable
	"2014"	"2014"	"Apr., 2014"	"2014/04"	259	Not Applicable	Not Applicable
	"2014"	"2014"	"May, 2014"	"2014/05"	268	Not Applicable	Not Applicable
	"2014"	"2014"	"Jun., 2014"	"2014/06"	221	Not Applicable	Not Applicable
	"2014"	"2014"	"Jul., 2014"	"2014/07"	230	Not Applicable	Not Applicable
	"2014"	"2014"	"Aug., 2014"	"2014/08"	221	Not Applicable	Not Applicable
	"2014"	"2014"	"Sep., 2014"	"2014/09"	209	Not Applicable	Not Applicable
	"2014"	"2014"	"Oct., 2014"	"2014/10"	233	Not Applicable	Not Applicable
	"2014"	"2014"	"Nov., 2014"	"2014/11"	237	Not Applicable	Not Applicable
	"2014"	"2014"	"Dec., 2014"	"2014/12"	292	Not Applicable	Not Applicable
"Total"	"2014"	"2014"			2935	Not Applicable	Not Applicable
	"2015"	"2015"	"Jan., 2015"	"2015/01"	319	Not Applicable	Not Applicable
	"2015"	"2015"	"Feb., 2015"	"2015/02"	253	Not Applicable	Not Applicable
	"2015"	"2015"	"Mar., 2015"	"2015/03"	291	Not Applicable	Not Applicable
	"2015"	"2015"	"Apr., 2015"	"2015/04"	260	Not Applicable	Not Applicable
	"2015"	"2015"	"May, 2015"	"2015/05"	248	Not Applicable	Not Applicable
	"2015"	"2015"	"Jun., 2015"	"2015/06"	210	Not Applicable	Not Applicable
	"2015"	"2015"	"Jul., 2015"	"2015/07"	228	Not Applicable	Not Applicable
	"2015"	"2015"	"Aug., 2015"	"2015/08"	230	Not Applicable	Not Applicable
	"2015"	"2015"	"Sep., 2015"	"2015/09"	228	Not Applicable	Not Applicable
	"2015"	"2015"	"Oct., 2015"	"2015/10"	245	Not Applicable	Not Applicable
	"2015"	"2015"	"Nov., 2015"	"2015/11"	256	Not Applicable	Not Applicable
	"2015"	"2015"	"Dec., 2015"	"2015/12"	257	Not Applicable	Not Applicable
"Total"	"2015"	"2015"			3025	Not Applicable	Not Applicable
	"2016"	"2016"	"Jan., 2016"	"2016/01"	250	Not Applicable	Not Applicable
	"2016"	"2016"	"Feb., 2016"	"2016/02"	247	Not Applicable	Not Applicable
	"2016"	"2016"	"Mar., 2016"	"2016/03"	254	Not Applicable	Not Applicable
	"2016"	"2016"	"Apr., 2016"	"2016/04"	224	Not Applicable	Not Applicable
	"2016"	"2016"	"May, 2016"	"2016/05"	238	Not Applicable	Not Applicable
	"2016"	"2016"	"Jun., 2016"	"2016/06"	195	Not Applicable	Not Applicable
	"2016"	"2016"	"Jul., 2016"	"2016/07"	215	Not Applicable	Not Applicable
	"2016"	"2016"	"Aug., 2016"	"2016/08"	234	Not Applicable	Not Applicable
	"2016"	"2016"	"Sep., 2016"	"2016/09"	235	Not Applicable	Not Applicable
	"2016"	"2016"	"Oct., 2016"	"2016/10"	267	Not Applicable	Not Applicable
	"2016"	"2016"	"Nov., 2016"	"2016/11"	239	Not Applicable	Not Applicable
	"2016"	"2016"	"Dec., 2016"	"2016/12"	275	Not Applicable	Not Applicable
"Total"	"2016"	"2016"			2873	Not Applicable	Not Applicable
	"2017"	"2017"	"Jan., 2017"	"2017/01"	284	Not Applicable	Not Applicable
	"2017"	"2017"	"Feb., 2017"	"2017/02"	294	Not Applicable	Not Applicable
	"2017"	"2017"	"Mar., 2017"	"2017/03"	277	Not Applicable	Not Applicable
	"2017"	"2017"	"Apr., 2017"	"2017/04"	254	Not Applicable	Not Applicable
	"2017"	"2017"	"May, 2017"	"2017/05"	240	Not Applicable	Not Applicable
